"Date","Open","High","Low","Close","Volume","Adj.Close"
"2016-04-25",61.130001,62.099998,57.529999,61,8913900,58.733871
"2016-05-02",60.790001,62.75,60.700001,62.509998,9401100,60.187771
"2016-05-09",62.360001,63.869999,61.82,62,9665000,59.69672
"2016-05-16",61.91,62.790001,58.5,59.689999,14007100,57.472534
"2016-05-23",59.75,63.200001,59.130001,62.709999,6700400,60.380344
"2016-05-31",62.709999,65.370003,62.630001,65,8670400,62.58527
"2016-06-06",62.130001,63.59,59.720001,61,12622500,58.733871
"2016-06-13",60.459999,61.389999,59.16,60.009998,10111800,57.780647
"2016-06-20",60.639999,61.32,59.18,59.860001,7073600,57.636223
"2016-06-27",59.380001,63.220001,58.330002,62.709999,8321000,60.380344
"2016-07-05",62.5,64.480003,61.77,64.160004,7624800,61.776482
"2016-07-11",64.25,65.809998,62.939999,63.32,10022700,61.502899
"2016-07-18",63.23,64.089996,63.09,63.810001,6160100,61.97884
"2016-07-25",63.91,66.400002,63.709999,66.230003,7085500,64.329399
"2016-08-01",66.230003,67.080002,66.050003,66.540001,6532900,64.630501
"2016-08-08",66.379997,67.389999,65.75,67.190002,4998900,65.261848
"2016-08-15",67.470001,68.120003,66.349998,67.099998,7044700,65.174423
"2016-08-22",67.309998,67.790001,64.209999,64.610001,8016800,62.755882
"2016-08-29",64.839996,65.089996,63.5,64.120003,5321700,62.279945
"2016-09-06",64.699997,65.139999,63.060001,63.360001,7271900,61.541756
"2016-09-12",62.98,64.230003,62.66,63.27,7831100,61.454338
"2016-09-19",63.619999,65.330002,62.759998,64.980003,6177500,63.115269
"2016-09-26",64.519997,64.940002,62.450001,63.07,5865600,61.260075
"2016-10-03",63.02,63.75,62.25,62.93,4332000,61.124092
"2016-10-10",63.07,63.66,60.150002,60.169998,4920500,58.982162
"2016-10-17",60.099998,62.16,59.860001,60.98,5423100,59.776173
"2016-10-24",61.130001,61.720001,55.060001,57.599998,9281200,56.462898
"2016-10-31",57.060001,57.299999,55.68,56.040001,10952200,54.933697
"2016-11-07",56.810001,65.050003,56.639999,63.099998,14392100,61.854321
"2016-11-14",63.400002,63.639999,60.389999,60.52,6479900,59.325253
"2016-11-21",60.700001,60.799999,58.599998,60.509998,5833700,59.315449
"2016-11-28",59.130001,62.099998,58.75,59.43,8689100,58.256771
"2016-12-05",59.599998,61.93,58.799999,61.540001,9445700,60.325119
"2016-12-12",61.529999,62.490002,61.360001,62.220001,7334500,60.991695
"2016-12-19",62.369999,63.330002,61.349998,62.34,5529800,61.109325
"2016-12-27",62.52,63.060001,62.25,62.619999,5393900,61.383797
"2017-01-03",62.919998,64,61.939999,63.790001,7021100,62.530701
"2017-01-09",63.799999,64.5,60.419998,61.990002,8872600,61.379356
"2017-01-17",61.75,62.139999,61.080002,61.150002,6520000,60.547634
"2017-01-23",61.02,61.900002,59.52,60,8371200,59.408958
"2017-01-30",59.91,61.32,59.27,60.669998,6733300,60.072357
"2017-02-06",60.509998,61.02,60.049999,60.419998,5000000,59.824821
"2017-02-13",60.580002,62.080002,60.150002,61.77,8534400,61.161526
"2017-02-21",61.84,62.240002,61.299999,62.09,7379900,61.478371
"2017-02-27",62.02,63.599998,61.68,63.34,6804600,62.716057
"2017-03-06",63,66.449997,62.880001,65.879997,8653900,65.231033
"2017-03-13",65.870003,66.790001,65.300003,65.690002,6599300,65.042908
"2017-03-20",65.779999,66.110001,65.040001,65.620003,4651500,64.973602
"2017-03-27",65.370003,66.279999,65.150002,65.160004,4297400,64.518135
"2017-04-03",65.239998,65.93,64.650002,65.540001,4760300,64.894386
"2017-04-10",65.5,65.779999,63.32,64.129997,5483500,64.129997
"2017-04-17",64.790001,64.970001,63.119999,63.82,4545300,63.82
"2017-04-24",64.400002,67.5,64.260002,65.940002,6792300,65.940002
"2017-05-01",66,67.400002,65.940002,66.989998,4493600,66.989998
"2017-05-08",66.940002,66.949997,66.139999,66.209999,4410700,66.209999
